<oov> 1.0	oov
بگھار 1.0	B A G_H A_A R
چھیڑ 1.0	T_S_H A_Y R_R
پتھریاں 1.0	P A T_D_H R I J A_A_N
نشرواشاعت 1.0	N A S_H R O_O I S_H A_A A T_D
ماتھا 1.0	M A_A T_D_H A_A
معاوضوں 1.0	M U A_A V A Z O_O_N
فکر 1.0	F I K R
ناظم 1.0	N A_A Z I M
سرنجیں 1.0	S A R I N D_Z A_Y_N
جبڑا 1.0	D_Z A B R_R A_A
رابعہ 1.0	R A_A B I A_A
پانچواں 1.0	P A_A N T_S1 V A_A_N
چھوٹے 1.0	T_S_H O_O T A_Y
نچلی 1.0	N I T_S1 L I_I1
ابھر 1.0	U B_H A R
شبہے 1.0	S_H U B H A_Y
ساریو 1.0	S A_A R J O_O
ریلیز 1.0	R I_I1 L I_I1 Z
مثلاً 1.0	M A S L A N
بس 1.0	B A S
چھاؤں 1.0	T_S_H A_A O_O_N
رویا 1.0	R U_U J A_A
اشد 1.0	A S_H H A D_D
دھیرے 1.0	D_D_H I_I1 R A_Y
رجحان 1.0	R U D_Z H A_A N
مطالعہ 1.0	M U T_D A_A L A A_A
فیاض 1.0	F A J J A_A Z
میزبان 1.0	M A_Y Z B A_A N
چیفس 1.0	T_S1 I_I1 F S
ہوئے 1.0	H U_U A_Y
آباد 1.0	A_A B A_A D_D
دیکھتے 1.0	D_D A_Y K_H T_D A_Y
ریوڑ 1.0	R A_Y V A R_R
عام 1.0	A_A M
فقروں 1.0	F I Q R O_O_N
فوجوں 1.0	F O_O D_Z O_O_N
تناسب 1.0	T_D A N A_A S U B
بقایا 1.0	B A Q A_A J A_A
الیکشن 1.0	I L A_E1 K S_H A N
چھاؤنیاں 1.0	T_S_H A_A O_O N I J A_A_N
سمگلروں 1.0	S A M A G L A R O_O_N
مہوش 1.0	M A_E_H H V A S_H
کینگرو 1.0	K A_E1 N_G R U_U
گھسیٹ 1.0	G_H A S I_I1 T
انفارمیشن 1.0	I N F A_A R M A_Y S_H A N
باغیوں 1.0	B A_A G_G I_I1 O_O_N
جین 1.0	D_Z A_Y N
فردوس 1.0	F I R D_D O S
اوباش 1.0	O_O B A_A S_H
ڈائرکٹر 1.0	D A_A A_Y R A K T A R
مچھیروں 1.0	M A T_S_H A_Y R O_O_N
گراموفون 1.0	G I R A_A M O_O F O_O N
سنٹر 1.0	S I N T A R
ساختہ 1.0	S A_A X T_D A_A
روور 1.0	R U_U V A R
تعاون 1.0	T_D A A_A V U N
نشاستہ 1.0	N A S_H A_A S T_D A_A
یرغمال 1.0	J A R G_G A M A_A L
کی 1.0	K I_I1
قدروقیمت 1.0	Q A D_D R O_O Q I_I1 M A T_D
وارڈ 1.0	V A_A R D
دیہاتیوں 1.0	D_D I_I1 H A_A T_D I_I1 O_O_N
والدین 1.0	V A_A L D_D A_E1 N
عفت 1.0	I F F A T_D
ماڑی 1.0	M A_A R_R I_I1
سوچنے 1.0	S O_O T_S1 N A_Y
تعفن 1.0	T_D A A F F U N
سوکھی 1.0	S U_U K_H I_I1
شاخسانہ 1.0	S_H A_A X S A_A N A_A
بند 1.0	B A N D_D
معصوم 1.0	M A_A S U_U M
گمشدہ 1.0	G U M S_H U D_D A_A
کنفیوژن 1.0	K A N F I J U_U Z_Z A N
جیوئش 1.0	D_Z I J U_U I S_H
بانہیں 1.0	B A_A_N H A_Y_N
مرزا 1.0	M I R Z A_A
بوڑھوں 1.0	B U_U R_R_H O_O_N
پھلوں 1.0	P_H A L O_O_N
بیڑے 1.0	B A_Y R_R A_Y
فرض 1.0	F A R Z
سیاسی 1.0	S I J A_A S I_I1
پہلوان 1.0	P A H A L V A_A N
ورلڈکپ 1.0	V A R L D K A P
غیرضروری 1.0	G_G A_E1 R Z A R U_U R I_I1
وعید 1.0	V A I_I1 D_D
قرضے 1.0	Q A R Z A_Y
جدول 1.0	D_Z A D_D V A L
رسیا 1.0	R A S J A_A
سوویت 1.0	S U_U V I J J A T_D
رکھاؤ 1.0	R A K_H A_A O_O
لینا 1.0	L A_Y N A_A
ضلعی 1.0	Z I L A I_I1
میتھائل 1.0	M I_I1 T_D_H A_A I L
پھیپھڑے 1.0	P_H A_Y P_H R_R A_Y
رقصاں 1.0	R A Q S A_A_N
صحبتوں 1.0	S U H B A T_D O_O_N
عنوان 1.0	U N V A_A N
ایگلز 1.0	I_I1 G A L Z
بوجھو 1.0	B U_U D_Z_H O_O
جلسے 1.0	D_Z A L S A_Y
گئیں 1.0	G A A_Y_N
سندھیوں 1.0	S I N D_D_H I_I1 O_O_N
آؤٹ 1.0	A_A U_U T
واویلا 1.0	V A_A V A_Y L A_A
پھنس 1.0	P_H A N S
جونیئر 1.0	D_Z U_U N I_I1 A R
بونس 1.0	B O_O N A S
سیر 1.0	S A_Y R
طاغوتی 1.0	T_D A_A G_G U_U T_D I_I1
بھیجا 1.0	B_H A_Y D_Z A_A
خرید 1.0	X A R I_I1 D_D
کھنچ 1.0	K_H I N T_S1
شدت 1.0	S_H I D_D D_D A T_D
اجلاس 1.0	I D_Z L A_A S
تجویز 1.0	T_D A D_Z V I_I1 Z
ذوالفقار 1.0	Z U L F I Q A_A R
علاج 1.0	I L A_A D_Z
لکھوا 1.0	L I K_H V A_A
گئے 1.0	G A A_Y
بیچارے 1.0	B A_Y T_S1 A_A R A_Y
مرثیے 1.0	M A R S I_I1 A_Y
دہندگان 1.0	D_D I H I N D_D G A_A N
گتھیاں 1.0	G U T_D_H T_D_H I J A_A_N
کیجیے 1.0	K I_I1 D_Z I_I1 A_Y
گیجٹ 1.0	G A_E1 D_Z A T
فیصلے 1.0	F A_E1 S L A_Y
متنفر 1.0	M A T_D A N A F F I R
جیسے 1.0	D_Z A_E1 S A_Y
رکھے 1.0	R A K K_H A_Y
پیشکشوں 1.0	P A_Y S_H K A S_H O_O_N
جادوگر 1.0	D_Z A_A D_D U_U G A R
مرغوب 1.0	M A R G_G U_U B
پراسیس 1.0	P A R A_A S A_E1 S
مخدوش 1.0	M A X D_D U_U S_H
گہرا 1.0	G A H R A_A
کار 1.0	K A_A R
سرگرمیوں 1.0	S A R G A R M I_I1 O_O_N
فوبیا 1.0	F O_O B I J A_A
گناہ 1.0	G U N A_A
تصحیح 1.0	T_D A S H I_I1
انکلوژر 1.0	I N K A L O_O Z_Z A R
ایں 1.0	A_E_N
عیاشی 1.0	A J J A_A S_H I_I1
قبیلے 1.0	Q A B I_I1 L A_Y
ایڈونچر 1.0	A_E1 D V A N T_S1 A R
معاون 1.0	M U A_A V I N
ڈائنو 1.0	D A_A I_I1 N O_O
چمچے 1.0	T_S1 A M T_S1 A_Y
اڑائے 1.0	U R_R A_A A_Y
پنج 1.0	P A N D_Z
ہولناک 1.0	H O L N A_A K
دوروں 1.0	D_D O R O_O_N
وحشی 1.0	V A H S_H I_I1
عرس 1.0	A U R S
موچی 1.0	M O_O T_S1 I_I1
ادغام 1.0	I D_D G_G A_A M
ونڈوز 1.0	V I N D O_O Z
رائے 1.0	R A_A A_Y
گروتھ 1.0	G A R O_O T_D_H
غنی 1.0	G_G A N I_I1
کنٹرول 1.0	K A N T R O_O L
جی 1.0	D_Z I_I1
سنچریاں 1.0	S A_Y N T_S1 A R J A_A_N
شروع 1.0	S_H U R U_U
یاں 1.0	J A_A_N
آسان 1.0	A_A S A_A N
ہر 1.0	H A R
پھیلا 1.0	P_H A_E1 L A_A
ممنوع 1.0	M A M N U_U
زنگ 1.0	Z A N_G
جعلسازی 1.0	D_Z A_A L S A_A Z I_I1
رکن 1.0	R U K A N
بینک 1.0	B A_E1 N K
دعا 1.0	D_D U A_A
بہترین 1.0	B A_Y_H H T_D A R I_I1 N
وقعت 1.0	V U Q A A T_D
معلومات 1.0	M A L U_U M A_A T_D
روزنامہ 1.0	R O_O Z N A_A M A_A
وحشیانہ 1.0	V A H S_H I J A_A N A_A
آنکھو 1.0	A_A N K_H O_O
نشانہ 1.0	N I S_H A_A N A_A
سویڈش 1.0	S U V I_I1 D I S_H
آڑھتی 1.0	A_A R_R_H T_D I_I1
شگوفوں 1.0	S_H A G U_U F O_O_N
پیشروؤں 1.0	P A_Y S_H R O_O O_O_N
وفد 1.0	V A F D_D
انہونی 1.0	A N H O_O N I_I1
بشاش 1.0	B A S_H S_H A_A S_H
وباؤں 1.0	V A B A_A O_O_N
احوال 1.0	I H V A_A L
خویش 1.0	X O A_Y S_H
جاتی 1.0	D_Z A_A T_D I_I1
شبلی 1.0	S_H I B L I_I1
ظہور 1.0	Z U H U_U R
تھیلی 1.0	T_D_H A_E1 L I_I1
دیکھیں 1.0	D_D A_Y K_H A_Y_N
لوں 1.0	L U_U_N
مدھم 1.0	M A D_D D_D_H A M
بدقسمتی 1.0	B A D_D Q I S M A T_D I_I1
کامیڈی 1.0	K A_A M A_Y D I_I1
پور 1.0	P O_O R
فقہی 1.0	F I Q H I_I1
ڈیمو 1.0	D A_Y M O_O
براؤزر 1.0	B A R A_A O_O Z A R
شیڈو 1.0	S_H A_E1 D O_O
ٹاؤن 1.0	T A_A U_U N
سوجنے 1.0	S U_U D_Z N A_Y
اتفاق 1.0	I T_D T_D I F A_A Q
وزیراعلی 1.0	V A Z I_I1 R A_Y A_A L A_A
بیٹھی 1.0	B A_E1 T_H I_I1
ظلم 1.0	Z U L M
توقع 1.0	T_D A V A Q Q O_O
جھم 1.0	D_Z_H A M
برساتا 1.0	B A R S A_A T_D A_A
بڑھاوں 1.0	B A R_R H A_A U_U_N
تلمیحات 1.0	T_D A L M I_I1 H A_A T_D
ریسرچ 1.0	R I_I1 S A R T_S1
سندھو 1.0	S A N D_D_H U_U
رسوائی 1.0	R U S V A_A I_I1
سانسوں 1.0	S A_A_N S O_O_N
یوم 1.0	J O M
بازو 1.0	B A_A Z U_U
پوچھوں 1.0	P U_U T_S_H U_U_N
عموماً 1.0	A M U_U M A N
تفتیشی 1.0	T_D A F T_D I_I1 S_H I_I1
خشت 1.0	X I S_H T_D
لوئی 1.0	L O_O I_I1
پرفارم 1.0	P A R F A_A M
نئی 1.0	N A I_I1
جوڈیشل 1.0	D_Z U_U D I_I1 S_H A L
سچائی 1.0	S A T_S1 T_S1 A_A I_I1
ڈوب 1.0	D U_U B
سونف 1.0	S O N F
مسئلہ 1.0	M A S A L A_A
مرغی 1.0	M U R G_G I_I1
انوکھی 1.0	A N O_O K_H I_I1
ڈھیلے 1.0	D_H A_Y L A_Y
لقب 1.0	L A Q A B
افلاس 1.0	I F L A_A S
شیرے 1.0	S_H I_I1 R A_Y
رنجش 1.0	R A N D_Z I S_H
انفلوئنزا 1.0	I N F I L U_U I N Z A_A
مزید 1.0	M A Z I_I1 D_D
ماہ 1.0	M A_A
سیڑھیاں 1.0	S I_I1 R_R_H I J A_A_N
ڈھونڈھ 1.0	D_H U_U N D_H
نغمہ 1.0	N A G_G M A_A
مغیث 1.0	M U G_G I_I1 S
گلوز 1.0	G A L A V Z
الاؤنس 1.0	A L A_A U_U N S
لفظ 1.0	L A F Z
چھڑانے 1.0	T_S_H U R_R A_A N A_Y
بوسن 1.0	B O_O S A N
ساتھی 1.0	S A_A T_D_H I_I1
نور 1.0	N U_U R
معزز 1.0	M U A Z Z A Z
نچھاور 1.0	N I T_S_H A_A V A R
ٹریژری 1.0	T I R A_E1 Z_Z A R I_I1
بیچنے 1.0	B A_Y T_S1 N A_Y
کوئل 1.0	K O_O A_Y L
گوشوارہ 1.0	G O_O S_H V A_A R A_A
کنواں 1.0	K U N V A_A_N
ڈیبٹ 1.0	D A_E1 B T
عدلیہ 1.0	A D_D L I J A_A
گھوڑے 1.0	G_H O_O R_R A_Y
کلچر 1.0	K A L T_S1 A R
تخیّل 1.0	T_D A X A J J U L
دفاع 1.0	D_D I F A_A
گلیشئر 1.0	G A L A_Y S_H I A R
بلدیاتی 1.0	B A L D_D I J A_A T_D I_I1
ڈوڈیاں 1.0	D O_O D I J A_A_N
وگرنہ 1.0	V A G A R N A_A
کھیلنے 1.0	K_H A_Y L N A_Y
آمیزش 1.0	A_A M A_Y Z I S_H
پھپھو 1.0	P_H U P_H P_H O_O
چغلی 1.0	T_S1 U G_G L I_I1
تصویر 1.0	T_D A S V I_I1 R
نقوی 1.0	N A Q V I_I1
محقق 1.0	M U H A Q Q I Q
مٹھائیاں 1.0	M I T_H A_A I J A_A_N
خبر 1.0	X A B A R
اینٹھن 1.0	A_E1 N T_H A N
گچھے 1.0	G U T_S1 T_S_H A_Y
تشدد 1.0	T_D A S_H A D_D D_D U D_D
کھلنڈرا 1.0	K_H A L A N D R A_A
پہنچی 1.0	P O_O_H H N T_S1 I_I1
سماجی 1.0	S A M A_A D_Z I_I1
اداس 1.0	U D_D A_A S
مدت 1.0	M U D_D D_D A T_D
عمرقید 1.0	U M R Q A_E1 D_D
قدآدم 1.0	Q A D_D A_Y A D_D A M
چودھری 1.0	T_S1 O D_D_H R I_I1
انگوٹھے 1.0	A N_G G U_U T_H A_Y
مکعب 1.0	M U K A A B
مجموعہ 1.0	M A D_Z M U_U A_A
پھوگ 1.0	P_H O_O G
آنکھوں 1.0	A_A N K_H O_O_N
سیریز 1.0	S I_I1 R I_I1 Z
قوام 1.0	Q I V A_A M
حیرت 1.0	H A_E1 R A T_D
لگایا 1.0	L A G A_A J A_A
کنویں 1.0	K U N V A_Y_N
شریفین 1.0	S_H A R I_I1 F A_Y N
توسیع 1.0	T_D O S I_I1
کنڑ 1.0	K U N R_R
ریسیور 1.0	R I_I1 S I_I1 V A R
پنچھی 1.0	P A N T_S_H I_I1
سجدہ 1.0	S A D_Z D_D A_A
محافظوں 1.0	M U H A_A F I Z O_O_N
فین 1.0	F A_E1 N
چیئرمین 1.0	T_S1 A_Y A R M A_E1 N
اقدامات 1.0	I Q D_D A_A M A_A T_D
والوں 1.0	V A_A L O_O_N
اصل 1.0	A S L
سفر 1.0	S A F A R
کوٹھے 1.0	K O_O T_H A_Y
پرسش 1.0	P U R S I S_H
تجزیے 1.0	T_D A D_Z Z I_I1 A_Y
تحویل 1.0	T_D A H V I_I1 L
جبڑے 1.0	D_Z A B R_R A_Y
الفاظ 1.0	A L F A_A Z
نتھی 1.0	N A T_D_H I_I1
خودسوزی 1.0	X U D_D S O_O Z I_I1
مملکت 1.0	M A M L U K A T_D
چھاچھ 1.0	T_S_H A_A T_S_H
فعل 1.0	F A_Y L
خالد 1.0	X A_A L I D_D
ڈھونگ 1.0	D_H O_O N_G
گرفتار 1.0	G I R I F T_D A_A R
شائد 1.0	S_H A_A J A D_D
ولد 1.0	V A L A D_D
رانجھا 1.0	R A_A N D_Z_H A_A
لائبریری 1.0	L A_A I B R A_Y R I_I1
ریاض 1.0	R I J A_A Z
مری 1.0	M A R I_I1
قہقہے 1.0	Q A H Q A H A_Y
نویں 1.0	N A V I_I_N
روشنیوں 1.0	R O_O S_H N I_I1 O_O_N
شوز 1.0	S_H O_O Z
سرخ 1.0	S U R X
فاخرہ 1.0	F A_A X I R A_A
ہائیڈروجن 1.0	H A_A I_I1 D R O_O D_Z A N
ترچھا 1.0	T_D I R T_S_H A_A
بھینس 1.0	B_H A_E1 N S
بیک 1.0	B A_E1 K
دھویا 1.0	D_D_H O_O J A_A
چشم 1.0	T_S1 A S_H M
لیس 1.0	L A_Y S
نوید 1.0	N A V I_I1 D_D
وائرل 1.0	V A_A A_Y R A L
تناول 1.0	T_D A N A_A V U L
حاضری 1.0	H A_A Z I R I_I1
حالات 1.0	H A_A L A_A T_D
گچھوں 1.0	G U T_S_H T_S_H O_O_N
چھاؤنی 1.0	T_S_H A U_U N I_I1
رعیت 1.0	R A Y I J A T_D
فوجی 1.0	F O_O D_Z I_I1
تیقن 1.0	T_D A J A Q Q U N
تنخواہ 1.0	T_D A N X O_O A_A
جبری 1.0	D_Z A B R I_I1
کھویا 1.0	K_H O_O J A_A
ارشد 1.0	A R S_H A D_D
ژنگ 1.0	Z_Z A N_G
پروفیشنل 1.0	P U R O_O F A_Y S_H N A L
گگلی 1.0	G U G L I_I1
حلیہ 1.0	H U L J A_A
دوست 1.0	D_D O_O S T_D
بالخصوص 1.0	B I L X U S U_U S
کھوئے 1.0	K_H O_O A_Y
جھالر 1.0	D_Z_H A_A L A R
اصلاحات 1.0	I S L A_A H A_A T_D
سنگین 1.0	S A N_G I_I1 N
تھیں 1.0	T_D_H I_I_N
صارفین 1.0	S A_A R I F I_I1 N
بوئنگ 1.0	B O_O I N_G
اچھل 1.0	U T_S_H A L
سجاتے 1.0	S A D_Z A_A T_D A_Y
پڑھوں 1.0	P A R_R_H U_U_N
ابلاغ 1.0	I B L A_A G_G
ادیبوں 1.0	A D_D I_I1 B O_O_N
گذشتہ 1.0	G U Z I S_H T_D A_A
شعبوں 1.0	S_H U B O_O_N
محبوبہ 1.0	M A H B U_U B A_A
فجر 1.0	F A D_Z R
بوقت 1.0	B A V A Q T_D
بلڈ 1.0	B I L D
گرانقدر 1.0	G I R A_A_N Q A D_D R
خداؤں 1.0	X U D_D A_A O_O_N
پہلو 1.0	P A_E_H H L U_U
ڈیزائنروں 1.0	D I_I1 Z A_A I N R O_O_N
مربعے 1.0	M U R A B B A A_Y
بھلا 1.0	B_H A L A_A
پلنٹی 1.0	P A L A N T I_I1
اقبال 1.0	I Q B A_A L
پیر 1.0	P I_I1 R
چھیانوے 1.0	T_S_H I J A_A N V A_Y
تھینکس 1.0	T_D_H A_E1 N K S
گوندھیں 1.0	G U_U_N D_D_H A_Y_N
کوسموس 1.0	K O S M O_O S
گشت 1.0	G A S_H T_D
ویلڈنگ 1.0	V A_E1 L D I N_G
چونگی 1.0	T_S1 U_U_N G I_I1
بجھانے 1.0	B U D_Z_H A_A N A_Y
ہمیں 1.0	H A M A_Y_N
منقش 1.0	M U N A Q Q A S_H
سینگ 1.0	S I_I1 N_G
ویئرز 1.0	V A_Y A R Z
چیخنے 1.0	T_S1 I_I1 X N A_Y
دختر 1.0	D_D U X T_D A R
معلوم 1.0	M A_A L U_U M
مطالعوں 1.0	M U T_D A_A L A O_O_N
لومڑ 1.0	L U_U M A R_R
سیلز 1.0	S A_E1 L Z
سکیپ 1.0	S I K A_Y P
سویاں 1.0	S I V A J J A_A_N
عصیاں 1.0	I S J A_A_N
محنت 1.0	M A_Y H N A T_D
کھدر 1.0	K_H A D_D D_D A R
توفیق 1.0	T_D O F I_I1 Q
رعایت 1.0	R I A_A J A T_D
باذوق 1.0	B A_A Z O_O Q
سعودی 1.0	S A U_U D_D I_I1
چادر 1.0	T_S1 A_A D_D A R
کروڑ 1.0	K A R O_O R_R
ارینجڈ 1.0	A R A_Y N D_Z D
مکھیاں 1.0	M A K K_H I J A_A_N
چشتی 1.0	T_S1 I S_H T_D I_I1
سپردخاک 1.0	S U P U R D_D A_Y X A_A K
جاسوسی 1.0	D_Z A_A S U_U S I_I1
رفیوجی 1.0	R I F I J U_U D_Z I_I1
کانجو 1.0	K A_A N D_Z U_U
کارکردگی 1.0	K A_A R K A R D_D A G I_I1
سکولوں 1.0	S A K U_U L O_O_N
راؤنڈر 1.0	R A_A U_U N D R
بدائع 1.0	B A D_D A_A A_Y
ایڈووکیٹ 1.0	A_E1 D V U_U K A_Y T
معشوق 1.0	M A S_H U_U Q
ایندھن 1.0	I_I1 N D_D_H A N
اہم 1.0	A H A M
زلفوں 1.0	Z U L F O_O_N
تبلیغی 1.0	T_D A B L I_I1 G_G I_I1
لوڈ 1.0	L O_O D
پتھل 1.0	P A T_D_H A L
لکڑہارے 1.0	L A K A R_R H A_A R A_Y
صنف 1.0	S I N F
تفویض 1.0	T_D A F V I_I1 Z
دوگانہ 1.0	D_D O_O G A_A N A_A
امرتا 1.0	A M R I T_D A_A
جیم 1.0	D_Z I_I1 M
گوگل 1.0	G U_U G A L
گویا 1.0	G O_O J A_A
نوحے 1.0	N O_O H A_Y
راوی 1.0	R A_A V I_I1
کلوننگ 1.0	K A L O_O N I N_G
ڈالوں 1.0	D A_A L O_O_N
یقیناً 1.0	J A Q I_I1 N A N
درود 1.0	D_D U R U_U D_D
معجزے 1.0	M U D_Z I Z A_Y
حمایت 1.0	H I M A_A J A T_D
جوق 1.0	D_Z O Q
گڈریے 1.0	G U D A R J A_Y
صدیوں 1.0	S A D_D J O_O_N
بسا 1.0	B A S A_A
متاثرہ 1.0	M U T_D A_A S I R A_A
نڈھال 1.0	N I D_H A_A L
ٹھنکا 1.0	T_H A N K A_A
لایا 1.0	L A_A J A_A
ایکسیڈنٹ 1.0	A_E1 K S I_I1 D A N T
بیوروکریسی 1.0	B I J U_U R O_O K A R A_Y S I_I1
گورنمنٹ 1.0	G A V A R N M I N T
الحاق 1.0	I L H A_A Q
دہشت 1.0	D_D A_E_H H S_H A T_D
تنازعے 1.0	T_D A N A_A Z A A_Y
مونث 1.0	M U A N N A S
خرچ 1.0	X A R T_S1
دانش 1.0	D_D A_A N I S_H
سکولز 1.0	S A K U_U L Z
مولانا 1.0	M O_O L A_A N A_A
پیسنے 1.0	P I_I1 S N A_Y
چودھرائن 1.0	T_S1 O D_D_H R A_A I N
تھوڑی 1.0	T_D_H O_O R_R I_I1
تہتر 1.0	T_D I H A T_D T_D A R
سمجھے 1.0	S A M D_Z_H A_Y
دارالحکومت 1.0	D_D A_A R U L H U K U_U M A T_D
پوٹھوہاری 1.0	P O T_H O_O H A_A R I_I1
کفالت 1.0	K I F A_A L A T_D
سنگھاڑے 1.0	S I N_G G_H A_A R_R A_Y
چھوہارے 1.0	T_S_H U_U H A_A R A_Y
پرچیاں 1.0	P A R T_S1 I J A_A_N
چوبند 1.0	T_S1 O B A N D_D
مڈل 1.0	M I D I L
ڈویژن 1.0	D A V I_I1 Z_Z A N
سوزش 1.0	S O_O Z I S_H
تصویریں 1.0	T_D A S V I_I1 R A_Y_N
سود 1.0	S U_U D_D
پھیرتے 1.0	P_H A_E1 R T_D A_Y
سموئے 1.0	S A M O_O A_Y
تشبیہ 1.0	T_D A S_H B I_I1
محسن 1.0	M O_O_H H S I N
ایگزٹ 1.0	A_E1 G Z I T
ہیڈکوارٹر 1.0	H A_E1 D K U V A_A R T A R
مہمانان 1.0	M A_E_H H M A_A N A_A N
میں 1.0	M A_Y_N
فریب 1.0	F A R A_Y B
کیڑا 1.0	K I_I1 R_R A_A
تقلیل 1.0	T_D A Q L I_I1 L
خصال 1.0	X I S A_A L
آنے 1.0	A_A N A_Y
استفسار 1.0	I S T_D I F S A_A R
برہان 1.0	B U R H A_A N
جکھرانی 1.0	D_Z A K_H R A_A N I_I1
لیجنڈری 1.0	L A_E1 D_Z I N D R I_I1
بے 1.0	B A_Y
قورمہ 1.0	Q O_O R M A_A
انداز 1.0	A N D_D A_A Z
نژاد 1.0	N A Z_Z A_A D_D
طریقہ 1.0	T_D A R I_I1 Q A_A
تحفہ 1.0	T_D U H F A_A
سوکھ 1.0	S U_U K_H
واہلہ 1.0	V A_A H L A_A
سنو 1.0	S U N O_O
گٹھڑی 1.0	G A T_H R_R I_I1
فلم 1.0	F I L M
بریگیڈیر 1.0	B R I G A_E1 D I A R
ہوتا 1.0	H O_O T_D A_A
میرا 1.0	M A_Y R A_A
موجودہ 1.0	M O_O D_Z U_U D_D A_A
لا 1.0	L A_A
پن 1.0	P I N
گزارنے 1.0	G U Z A_A R N A_Y
کیسز 1.0	K A_Y S I Z
معززین 1.0	M U A Z Z I Z I_I1 N
لہریں 1.0	L A_E_H H R A_Y_N
پرسکون 1.0	P U R S U K U_U N
خوشگوار 1.0	X U S_H G A V A_A R
کارپوریشن 1.0	K A_A R P O_O R A_Y S_H A N
نیلوفر 1.0	N I_I1 L O_O F A R
انفرادی 1.0	I N F I R A_A D_D I_I1
پیروں 1.0	P A_E1 R O_O_N
دلفریب 1.0	D_D I L F A R A_Y B
ڈانس 1.0	D A_A N S
ڈائریکٹ 1.0	D A_A A_Y R A_E1 K T
نے 1.0	N A_Y
بچاؤ 1.0	B A T_S1 A_A O_O
گہرے 1.0	G A_E_H H R A_Y
بالغوں 1.0	B A_A L I G_G O_O_N
تجرد 1.0	T_D A D_Z A R R U D_D
غزل 1.0	G_G A Z A L
اول 1.0	A V V A L
پہنتے 1.0	P A_E_H H A N T_D A_Y
بروے 1.0	B A R U_U A_Y
آئیوڈین 1.0	A_A I_I1 O_O D I_I1 N
کھاد 1.0	K_H A_A D_D
کچرا 1.0	K A T_S1 R A_A
شرکت 1.0	S_H I R K A T_D
کنٹریکٹ 1.0	K A N T I R A_E1 K T
برقرار 1.0	B A R Q A R A_A R
مانوس 1.0	M A_A N U_U S
بقعہ 1.0	B U Q A_A
نقشبندی 1.0	N A Q S_H B A N D_D I_I1
ملین 1.0	M I L J A N
ساتویں 1.0	S A_A T_D V A_Y_N
عشرہ 1.0	A S_H R A_A
جمہوریت 1.0	D_Z A M H U_U R I J A T_D
جائیں 1.0	D_Z A_A A_Y_N
مسلمان 1.0	M U S A L M A_A N
جوڈیشری 1.0	D_Z O_O D I_I1 S_H R I_I1
مخبری 1.0	M U X B A R I_I1
معاصر 1.0	M U A_A S I R
گھیراؤ 1.0	G_H A_E1 R A_A O_O
کچھ 1.0	K U T_S_H
لانچنگ 1.0	L A_A N T_S1 I N_G
ہارڈویر 1.0	H A_A R D V A_Y A R
ترچھی 1.0	T_D I R T_S_H I_I1
علاقے 1.0	I L A_A Q A_Y
ذخیرہ 1.0	Z A X I_I1 R A_A
لائبریرین 1.0	L A_A I B R A_Y R J A N
دوغلے 1.0	D_D O_O G_G L A_Y
بچھڑ 1.0	B I T_S_H A R_R
قبضے 1.0	Q A B Z A_Y
عفو 1.0	A F V
قانون 1.0	Q A_A N U_U N
گوجر 1.0	G O_O D_Z A R
سنگباری 1.0	S A N_G B A_A R I_I1
خام 1.0	X A_A M
امروہی 1.0	A M R O_O H I_I1
تشخیص 1.0	T_D A S_H X I_I1 S
دلربا 1.0	D_D I L R U B A_A
ڈی 1.0	D I_I1
بھاری 1.0	B_H A_A R I_I1
رکھو 1.0	R A K_H O_O
آرگنائزیشن 1.0	A_A R G N A_A I Z A_Y S_H A N
تنقید 1.0	T_D A N Q I_I1 D_D
سوچو 1.0	S O_O T_S1 O_O
موڑ 1.0	M O_O R_R
تشخص 1.0	T_D A S_H A X X U S
ہودہ 1.0	H O D_D A_A
لیڈز 1.0	L A_E1 D Z
مدد 1.0	M A D_D A D_D
جئے 1.0	D_Z A A_Y
فزیوتھراپسٹ 1.0	F I Z J O_O T_D_H A R A_A P I S T
میچور 1.0	M A_Y T_S1 O_O R
بالاخر 1.0	B I L A_A X I R
نتھنوں 1.0	N A T_D_H N O_O_N
گدے 1.0	G A D_D D_D A_Y
گردش 1.0	G A R D_D I S_H
واپڈا 1.0	V A_A P D A_A
مواضعات 1.0	M A V A_A Z I A_A T_D
مداحوں 1.0	M A D_D D_D A_A H O_O_N
دیجئے 1.0	D_D I_I1 D_Z I A_Y
نوچندی 1.0	N O T_S1 A N D_D I_I1
غوں 1.0	G_G U_U_N
عرضداشت 1.0	A R Z D_D A_A S_H T_D
ہیئت 1.0	H A_E1 A T_D
سقوط 1.0	S U Q U_U T_D
نرغے 1.0	N A R G_G A_Y
ڈاٹ 1.0	D A_A T
طرفین 1.0	T_D A R F A_E1 N
خواہشمند 1.0	X A_A H I S_H M A N D_D
کرنے 1.0	K A R N A_Y
چہروں 1.0	T_S1 A_Y_H H R O_O_N
شیشوں 1.0	S_H I_I1 S_H O_O_N
بورڈ 1.0	B O_O R D
روزانہ 1.0	R O_O Z A_A N A_A
بلوچوں 1.0	B A L O_O T_S1 O_O_N
کلو 1.0	K I L O_O
منجدھار 1.0	M A N D_Z D_D_H A_A R
جغرافیائی 1.0	D_Z U G_G R A_A F I J A_A I_I1
جس 1.0	D_Z I S
دوچند 1.0	D_D O_O T_S1 A N D_D
تراجم 1.0	T_D A R A_A D_Z I M
